Tahun;Ekspor_Minyak_Mentah;Impor_Minyak_Mentah
1996;38255;9350
1997;38977;9126
1998;36914;10473
1999;35903;11497
2000;29226;11474
2001;32857;14175
2002;29054;15880
2003;26518;16817
2004;23468;18930
2005;21488;15650
2006;18128;14643
2007;18175;15147
2008;18235;12749
2009;17967;15304
2010;18132;14250
2011;17820;13254
2012;14973;12550
2013;13017;16016
2014;12400;16186
2015;15554;18728
2016;16956;19932
2017;13571;17949
2018;10215;16932
2019;3577;11756
2020;4396;10510
2021;6017;13777
